Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule_ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,e1,e1-quantised,a1r,a1r-quantised,c1,c1-quantised,n1,n1-quantised,o1,o1-quantised,e2r,e2r-quantised,a2,a2-quantised,c2r,c2r-quantised,n2r,n2r-quantised,o2,o2-quantised,e3,e3-quantised,a3r,a3r-quantised,c3,c3-quantised,n3,n3-quantised,o3,o3-quantised,e4,e4-quantised,a4,a4-quantised,c4r,c4r-quantised,n4,n4-quantised,o4,o4-quantised,e5r,e5r-quantised,a5,a5-quantised,c5r,c5r-quantised,n5r,n5r-quantised,o5,o5-quantised,e6,e6-quantised,a6r,a6r-quantised,c6,c6-quantised,n6,n6-quantised,o6,o6-quantised,e7r,e7r-quantised,a7,a7-quantised,c7,c7-quantised,n7r,n7r-quantised,o7r,o7r-quantised,e8,e8-quantised,a8r,a8r-quantised,c8,c8-quantised,n8,n8-quantised,o8,o8-quantised,o9r,o9r-quantised,a9,a9-quantised,c9r,c9r-quantised,o10,o10-quantised,END QUESTIONNAIRE
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888028,BLIND,5277324,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 94.0,1920x1080,1848x968,,The Big Five Inventory (BFI) ,2,No,4,4,4,4,4,4,4,4,5,5,3,3,2,2,5,5,1,1,5,5,4,4,3,3,4,4,4,4,5,5,4,4,2,2,5,5,5,5,5,5,3,3,2,2,2,2,1,1,5,5,4,4,4,4,4,4,5,5,5,5,4,4,3,3,3,3,2,2,4,4,3,3,2,2,3,3,5,5,5,5,1,1,4,4,4,4,4,4,203896
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,8,09/12/2021 23:32,13764,4,questionnaire-7tij,,17888030,BLIND,5277326,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1440x900,1353x730,,The Big Five Inventory (BFI) ,2,No,4,4,4,4,5,5,3,3,3,3,2,2,5,5,2,2,1,1,5,5,3,3,1,1,4,4,4,4,5,5,3,3,5,5,3,3,5,5,4,4,2,2,4,4,5,5,2,2,2,2,3,3,2,2,4,4,3,3,5,5,3,3,5,5,3,3,2,2,3,3,4,4,2,2,3,3,4,4,5,5,2,2,3,3,3,3,5,5,117483
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888032,BLIND,5277327,,complete,,,computer,Desktop or Laptop,Mac OS 10.16.0,Chrome 80.0.3987.132,2560x1440,1274x1329,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,4,4,3,3,3,3,2,2,4,4,3,3,2,2,4,4,4,4,1,1,4,4,3,3,4,4,4,4,4,4,2,2,5,5,4,4,2,2,4,4,4,4,3,3,3,3,3,3,1,1,4,4,4,4,3,3,2,2,4,4,4,4,2,2,3,3,4,4,2,2,4,4,4,4,3,3,2,2,4,4,3,3,4,4,137644
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888033,BLIND,5277328,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1280x800,1280x689,,The Big Five Inventory (BFI) ,2,No,2,2,4,4,4,4,1,1,5,5,5,5,3,3,2,2,4,4,3,3,2,2,1,1,4,4,3,3,5,5,3,3,4,4,4,4,2,2,4,4,5,5,4,4,4,4,5,5,4,4,3,3,4,4,2,2,3,3,3,3,5,5,4,4,5,5,4,4,3,3,3,3,4,4,2,2,5,5,5,5,3,3,4,4,3,3,3,3,153580
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888034,BLIND,5277329,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x520,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,5,5,4,4,3,3,5,5,4,4,3,3,2,2,4,4,3,3,1,1,4,4,2,2,4,4,5,5,5,5,4,4,5,5,4,4,3,3,5,5,2,2,2,2,4,4,4,4,3,3,4,4,3,3,5,5,4,4,5,5,4,4,3,3,4,4,3,3,1,1,3,3,5,5,5,5,3,3,4,4,5,5,4,4,317251
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888035,BLIND,5277330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 96.0.4664.55,1440x900,1440x789,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,3,3,1,1,2,2,1,1,5,5,4,4,2,2,4,4,4,4,1,1,4,4,4,4,3,3,4,4,2,2,2,2,5,5,5,5,1,1,5,5,4,4,2,2,3,3,4,4,3,3,2,2,4,4,4,4,1,1,4,4,4,4,2,2,4,4,5,5,1,1,5,5,2,2,3,3,2,2,4,4,5,5,4,4,340204
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888044,BLIND,5277333,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1440x820,,The Big Five Inventory (BFI) ,2,No,1,1,2,2,2,2,5,5,4,4,5,5,4,4,3,3,2,2,4,4,2,2,2,2,3,3,3,3,2,2,2,2,5,5,2,2,2,2,5,5,5,5,4,4,3,3,2,2,2,2,3,3,2,2,3,3,4,4,4,4,2,2,4,4,2,2,1,1,4,4,2,2,1,1,2,2,4,4,5,5,3,3,3,3,3,3,2,2,385749
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888045,BLIND,5277334,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1221x719,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,4,3,3,4,4,2,2,3,3,2,2,3,3,3,3,4,4,4,4,4,4,3,3,3,3,2,2,4,4,3,3,3,3,3,3,4,4,3,3,1,1,3,3,4,4,4,4,103976
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888046,BLIND,5277335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.93,1280x720,1280x609,,The Big Five Inventory (BFI) ,2,No,4,4,5,5,5,5,5,5,4,4,5,5,4,4,2,2,1,1,5,5,4,4,3,3,4,4,5,5,5,5,4,4,2,2,1,1,5,5,5,5,4,4,5,5,3,3,1,1,5,5,2,2,2,2,2,2,3,3,5,5,5,5,3,3,5,5,4,4,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,274520
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888047,BLIND,5277337,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x812,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,203651
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888048,BLIND,5277338,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x719,,The Big Five Inventory (BFI) ,2,No,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,3,3,5,5,1,1,5,5,5,5,5,5,3,3,2,2,1,1,5,5,4,4,2,2,5,5,3,3,1,1,4,4,3,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2,2,5,5,2,2,5,5,3,3,5,5,5,5,1,1,3,3,3,3,5,5,256445
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:32,13764,4,questionnaire-7tij,,17888051,BLIND,5277341,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.93,1280x720,1280x577,,The Big Five Inventory (BFI) ,2,No,1,1,4,4,5,5,5,5,4,4,5,5,5,5,1,1,1,1,5,5,3,3,1,1,5,5,4,4,5,5,3,3,4,4,1,1,5,5,5,5,5,5,2,2,2,2,1,1,4,4,1,1,3,3,4,4,4,4,5,5,5,5,5,5,5,5,1,1,4,4,1,1,1,1,4,4,5,5,5,5,1,1,4,4,1,1,5,5,96741
1,1.63906E+12,09/12/2021 15:32,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888053,BLIND,5277343,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.93,1920x1080,1920x969,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,5,5,3,3,4,4,4,4,4,4,2,2,2,2,4,4,3,3,1,1,4,4,4,4,4,4,3,3,5,5,1,1,5,5,5,5,4,4,4,4,4,4,2,2,4,4,2,2,2,2,4,4,2,2,5,5,4,4,4,4,4,4,4,4,5,5,2,2,1,1,4,4,3,3,4,4,1,1,3,3,3,3,4,4,132289
1,1.63906E+12,09/12/2021 15:33,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888063,BLIND,5277345,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.41,1368x912,799x759,,The Big Five Inventory (BFI) ,2,No,5,5,3,3,4,4,5,5,3,3,2,2,4,4,2,2,2,2,5,5,3,3,2,2,4,4,4,4,3,3,4,4,4,4,2,2,5,5,4,4,2,2,4,4,2,2,1,1,2,2,4,4,2,2,4,4,5,5,5,5,2,2,3,3,4,4,2,2,3,3,4,4,3,3,5,5,4,4,4,4,1,1,4,4,1,1,5,5,107360
1,1.63906E+12,09/12/2021 15:33,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888064,BLIND,5277347,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,792x704,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,5,5,3,3,3,3,3,3,4,4,2,2,2,2,4,4,3,3,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,2,2,3,3,4,4,4,4,4,4,4,4,5,5,4,4,5,5,3,3,2,2,4,4,3,3,1,1,4,4,3,3,4,4,1,1,4,4,4,4,5,5,144485
1,1.63906E+12,09/12/2021 15:33,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888070,BLIND,5277349,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x787,,The Big Five Inventory (BFI) ,2,No,2,2,4,4,2,2,5,5,2,2,5,5,2,2,4,4,1,1,4,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,4,5,5,3,3,5,5,3,3,4,4,1,1,2,2,2,2,4,4,2,2,4,4,5,5,5,5,3,3,1,1,1,1,3,3,2,2,4,4,4,4,5,5,4,4,1,1,3,3,5,5,4,4,92575
1,1.63906E+12,09/12/2021 15:33,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888083,BLIND,5277355,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.43,1366x768,1366x657,,The Big Five Inventory (BFI) ,2,No,5,5,3,3,5,5,2,2,5,5,2,2,4,4,4,4,2,2,5,5,4,4,3,3,5,5,4,4,5,5,5,5,3,3,2,2,3,3,5,5,2,2,3,3,2,2,2,2,4,4,4,4,2,2,5,5,4,4,5,5,2,2,4,4,4,4,3,3,3,3,5,5,2,2,3,3,3,3,5,5,3,3,4,4,3,3,5,5,231498
1,1.63906E+12,09/12/2021 15:33,1.63906E+12,0,09/12/2021 15:33,13764,4,questionnaire-7tij,,17888085,BLIND,5277356,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x723,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,3,3,5,5,3,3,3,3,4,4,5,5,1,1,4,4,2,2,2,2,4,4,4,4,4,4,4,4,5,5,2,2,5,5,3,3,2,2,4,4,3,3,2,2,3,3,4,4,1,1,3,3,3,3,2,2,4,4,5,5,3,3,2,2,4,4,3,3,1,1,3,3,5,5,5,5,4,4,4,4,4,4,2,2,378685
1,1.63906E+12,09/12/2021 15:37,1.63906E+12,0,09/12/2021 15:37,13764,4,questionnaire-7tij,,17888188,BLIND,5277397,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x1024,1536x881,,The Big Five Inventory (BFI) ,2,No,4,4,2,2,4,4,5,5,2,2,5,5,4,4,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,2,2,4,4,2,2,4,4,2,2,4,4,5,5,3,3,4,4,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,4,4,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,156937
1,1.58E+12,16/03/2020 15:05,1.58E+12,8,16/03/2020 23:05,13764,3,questionnaire-7tij,,4176713,BLIND,1182096,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 80.0.3987.132,1440x900,1440x820,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,2,2,4,4,4,4,4,4,4,4,2,2,1,1,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,2,2,3,3,4,4,3,3,122251
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
