ID,age,gender,gov_support,neg_emotion,egal,indv
197,26,1,4.777777778,4.333333333,6.033333333,2.166666667
198,24,1,3.666666667,3.333333333,5.033333333,4.5
199,25,1,5.111111111,7,6,1.916666667
200,25,1,5.666666667,6,5.266666667,1.666666667
201,25,1,4.222222222,6,5.733333333,2.555555556
202,25,1,5.555555556,5.666666667,5.333333333,2.583333333
203,25,1,6,6,5.933333333,2.083333333
204,25,1,4.111111111,4.666666667,4.733333333,3.083333333
205,25,2,2.814814815,4,4.303703704,2.555555556
206,26,2,4.222222222,6,6.2,2.166666667
208,25,2,4,6,4.933333333,2.444444444
209,24,2,4.777777778,6.333333333,5.233333333,2
210,23,2,3.333333333,3,4.833333333,3.083333333
211,23,2,6,5,5.933333333,3.166666667
212,24,2,5.111111111,4.666666667,4.733333333,2.638888889
213,24,1,5.555555556,7,6,1.833333333
214,24,1,4.333333333,6.333333333,5.866666667,2.25
216,23,1,5.666666667,4,4.433333333,1.916666667
217,23,1,4.777777778,5,5.266666667,1.916666667
218,24,1,4.666666667,4.333333333,4.7,5.333333333
219,23,1,6.333333333,6.333333333,6.233333333,2.666666667
220,23,1,5.592592593,6.666666667,6.766666667,1.333333333
221,23,1,5.111111111,6,5.7,2.166666667
222,23,1,4.777777778,6.696969697,6.433333333,1.5
223,25,1,5.666666667,7,5.566666667,1.916666667
224,23,1,3.333333333,4.333333333,5.033333333,3
225,23,1,4.111111111,7,6.033333333,1.666666667
226,23,1,2.444444444,3,4.4,4
228,23,1,6.555555556,5.333333333,5.7,4.25
230,23,1,7,4,5,3.166666667
234,23,1,7,5,6.433333333,2.083333333
235,23,1,2.666666667,4,3.6,4.166666667
236,23,1,3.777777778,5.666666667,5.016666667,1.916666667
239,23,1,4.666666667,3,4.5,3.416666667
240,23,1,4.777777778,5,4.933333333,5
241,23,1,5.444444444,3.333333333,3.9,3.666666667
242,22,1,4.777777778,7,6.466666667,1.5
243,22,1,5.888888889,5,5.466666667,1.25
244,22,1,4.666666667,7,7,1
245,22,1,4.333333333,6,5.066666667,1.583333333
247,22,1,5.555555556,4,6.133333333,2.75
248,23,1,4,4.333333333,5.866666667,2.916666667
251,23,1,3.555555556,5,5.866666667,1.083333333
257,22,1,6,6,6.166666667,1.25
258,23,1,3.333333333,2.666666667,5.466666667,1.666666667
259,23,1,4.666666667,7,6.233333333,1.833333333
261,22,1,5.666666667,6,5.866666667,2.666666667
262,23,1,4.888888889,4,5.833333333,3.916666667
263,23,1,4.888888889,4.666666667,5.7,4.583333333
265,23,1,6,6.666666667,6.133333333,3.833333333
266,23,1,5.666666667,4.333333333,6.233333333,3.333333333
