ID,age,gender,aut_support,int_mot,energy
170,33,1,4,6.133333333,5.666666667
171,34,1,4.333333333,5.866666667,6
172,34,1,5,5.866666667,3.666666667
173,33,1,6,6.166666667,6
174,34,1,2.666666667,5.466666667,6
175,34,1,7,6.233333333,5
176,33,1,6,5.866666667,6
177,34,1,4,5.833333333,4.666666667
178,34,1,4.666666667,5.7,4.666666667
179,34,1,6.666666667,6.133333333,6
180,34,1,4.333333333,6.233333333,6
181,34,1,4,5.2,7
182,34,1,7,5.766666667,6
183,34,1,6,6.8,7
184,34,1,5.333333333,5.5,5
185,34,1,7,6.6,6
186,34,1,7,6.8,7
187,34,1,7,6.433333333,7
188,34,1,7,6.8,6
189,34,1,5.333333333,4.966666667,5.333333333
190,34,1,3.333333333,3.422222222,6
191,34,1,5.333333333,5.5,6.666666667
192,34,1,1.666666667,3.733333333,6.833333333
193,34,1,6.333333333,6.066666667,5
194,34,1,5.666666667,5.8,4.333333333
195,34,1,6,6.233333333,6
196,34,1,5.333333333,6.6,6.333333333
197,34,1,7,6.5,5.333333333
198,33,1,6.666666667,5.544444444,5.333333333
199,33,1,5.666666667,5.266666667,5.333333333
200,33,1,6.333333333,5.166666667,7
201,33,1,5.333333333,5.766666667,5
202,33,1,5.666666667,5.566666667,4.333333333
203,34,1,5.666666667,6.033333333,4
204,34,1,5.666666667,4.5,6
205,33,1,3,3.6,4.333333333
206,34,1,6.333333333,6.366666667,4.666666667
207,34,1,4.333333333,5.8,4
208,33,1,4.666666667,5.633333333,4.333333333
209,34,2,5,5.766666667,5
210,34,2,6.333333333,6.533333333,5
211,34,2,6,6.466666667,4.333333333
212,34,2,4.333333333,5.083333333,5
213,34,2,5.666666667,5.933333333,6
214,34,2,5.666666667,6.111111111,4.666666667
