"","Particpant","Task","Ego","Enthusiasm"
"137",85,4.14285714285714,3.66666666666667,4.75
"138",28,4.14285714285714,1.5,4.75
"139",17,3.42857142857143,2.5,3.25
"140",160,3.28571428571429,1.83333333333333,3.25
"141",70,3.71428571428571,2.33333333333333,4.5
"142",133,4.71428571428571,3.33333333333333,4.75
"143",132,3.71428571428571,3.16666666666667,3.5
"144",186,3,2.16666666666667,3.25
"145",157,4.57142857142857,1.66666666666667,4.66666666666667
"146",38,4.71428571428571,3.33333333333333,5
"147",105,5,3.33333333333333,5
"148",55,3.57142857142857,1,4
"149",139,4,1.33333333333333,4.5
"150",53,4,2.66666666666667,4.75
"151",24,3.28571428571429,2.16666666666667,4.25
"152",232,4.42857142857143,3.5,5
"153",52,4.57142857142857,3,4.5
"154",82,4,3.16666666666667,5
"155",83,4,3.16666666666667,5
"156",39,3.85714285714286,2.5,4.5
"157",8,4.57142857142857,1.66666666666667,5
"158",203,2.85714285714286,1.5,3.75
"159",120,3.85714285714286,3,4.5
"160",95,4.28571428571429,3.83333333333333,4.5
"161",16,4.42857142857143,3.16666666666667,5
"162",172,3.85714285714286,2.5,4.25
"163",247,4.28571428571429,1.83333333333333,5
"164",144,3.5,2.4,4.5
"165",195,4,3,5
"166",73,4.28571428571429,3.83333333333333,4.75
"167",208,3.85714285714286,2.16666666666667,3.5
"168",30,3.28571428571429,1.66666666666667,3.25
"169",60,4,1.66666666666667,4.25
"170",180,3.14285714285714,2,3.25
"171",96,5,3.5,5
"172",79,4.14285714285714,3.16666666666667,4.75
"173",124,3.14285714285714,1,3.75
"174",159,3.42857142857143,1.33333333333333,4.5
"175",209,3.83333333333333,2.33333333333333,5
"176",20,3.14285714285714,3.33333333333333,3.75
"177",145,4.14285714285714,2.33333333333333,5
"178",185,4.14285714285714,1.5,4.25
"179",91,4,2.83333333333333,4.75
"180",253,3,1.16666666666667,4
"181",87,3.71428571428571,3.5,4
"182",135,3.85714285714286,1.33333333333333,4
"183",67,3.57142857142857,3.66666666666667,4.25
"184",63,3.71428571428571,3,4
"185",240,4,1.66666666666667,4.5
"186",150,4.14285714285714,3.16666666666667,3.75
"187",110,4,3.66666666666667,4
"188",7,4.16666666666667,1.83333333333333,4.5
"189",255,2.85714285714286,1.66666666666667,4
"190",254,3.42857142857143,1.83333333333333,4
"191",37,4.28571428571429,3.16666666666667,4.75
"192",107,3.85714285714286,3.66666666666667,4.75
"193",200,1.85714285714286,1.5,4.5
"194",226,3.85714285714286,3,4.25
"195",165,3.28571428571429,3.5,4.25
"196",194,3.71428571428571,1.83333333333333,3.5
"197",9,5,3.33333333333333,5
"198",61,3.28571428571429,2,4
"199",51,4.14285714285714,1.83333333333333,4.25
"200",250,3.57142857142857,2,4.5
"201",234,4.16666666666667,2.66666666666667,4.75
"202",223,3.57142857142857,2.5,4
"203",244,3,2.33333333333333,4
"204",246,4.28571428571429,1.33333333333333,4.5
"205",170,3.14285714285714,1.5,4.25
"206",102,4.14285714285714,1.83333333333333,4
"207",81,4.14285714285714,3.16666666666667,5
"208",236,4.57142857142857,3.5,4.75
"209",41,3.28571428571429,1.5,4
"210",68,3.85714285714286,1.83333333333333,3.75
"211",134,3,3,4.25
"212",46,3,2.5,4.25
"213",260,3.85714285714286,3.33333333333333,4.33333333333333
"214",90,4.14285714285714,3,4.75
"215",245,3.14285714285714,2,3.75
"216",167,4.85714285714286,3.16666666666667,4.5
"217",118,2.85714285714286,2.5,3.5
"218",169,3.57142857142857,1.33333333333333,4
"219",197,3.71428571428571,3.16666666666667,4.25
"220",108,4,3.33333333333333,4
"221",166,3.85714285714286,2.5,3.75
"222",217,4.16666666666667,2.16666666666667,4.25
"223",49,4.28571428571429,2.83333333333333,4.5
"224",146,3.42857142857143,3.16666666666667,4.5
"225",259,4,3.33333333333333,4.25
"226",12,4.71428571428571,3.16666666666667,4.5
"227",151,3.42857142857143,1.66666666666667,3.75
"228",174,3.57142857142857,1.66666666666667,4
"229",29,3.71428571428571,1.66666666666667,4
"230",140,3.71428571428571,1.5,4.5
"231",57,3.14285714285714,1.83333333333333,4
"232",65,4.42857142857143,2,4.25
"233",21,3.14285714285714,1.66666666666667,4
"234",86,3.71428571428571,3.33333333333333,4.25
"235",116,3.57142857142857,2.16666666666667,3.75
"236",2,2,3,4.5
"237",241,4,2.33333333333333,4.5
"238",162,3.71428571428571,2,4
"239",4,4,3,4.25
"240",130,4.14285714285714,1.66666666666667,4.5
"241",153,4,1.83333333333333,4.5
"242",93,4,2.66666666666667,4.5
"243",183,4,3,4.25
"244",182,3.57142857142857,2.83333333333333,4
"245",175,3.71428571428571,2.16666666666667,4.25
"246",92,3.85714285714286,2.66666666666667,4
"247",161,4,2.66666666666667,4
"248",10,4.28571428571429,2.5,4.5
"249",98,3.85714285714286,2.5,4
"250",238,3.57142857142857,2.66666666666667,4
"251",188,3.14285714285714,2.16666666666667,4
"252",191,3.42857142857143,2.16666666666667,4.5
"253",59,4,2.66666666666667,4.5
"254",104,4,2.66666666666667,4.5
"255",206,3.14285714285714,2.33333333333333,4.25
"256",176,4.14285714285714,2.16666666666667,4.25
"257",173,3.14285714285714,2,4
